open_time,close_time,side,entry,close,sl,tp,size,pnl,result,capital
2026-02-13 10:45:00+00:00,2026-02-13 13:30:00+00:00,short,4970.7998046875,4998.832477318887,4998.832477318887,4928.750795740419,3.5765371565637616,-100.26,SL,9925.73
2026-02-13 13:30:00+00:00,2026-02-13 16:15:00+00:00,long,5005.39990234375,5053.894184110087,4973.070381166192,5053.894184110087,3.070175266938572,148.89,TP,10074.62
2026-02-18 11:30:00+00:00,2026-02-18 12:00:00+00:00,short,4931.60009765625,4945.182469318084,4945.182469318084,4911.226540163498,7.417420040055668,-100.75,SL,9973.87
2026-02-18 12:15:00+00:00,2026-02-18 12:45:00+00:00,long,4941.39990234375,4966.457039424495,4924.69514428992,4966.457039424495,5.970675772556042,149.61,TP,10123.48
2026-02-19 15:00:00+00:00,2026-02-20 13:45:00+00:00,long,5018.39990234375,5065.745667034438,4986.836059216625,5065.745667034438,3.2073019183266256,151.85,TP,10275.33
2026-02-23 09:30:00+00:00,2026-02-23 14:30:00+00:00,long,5167.0,5196.870472274545,5147.08635181697,5196.870472274545,5.159943335652818,154.13,TP,10429.46
2026-02-25 13:00:00+00:00,2026-02-25 14:30:00+00:00,long,5205.39990234375,5188.070193800493,5188.070193800493,5231.394465158636,6.0182544567145255,-104.29,SL,10325.16
2026-02-25 14:30:00+00:00,2026-02-25 15:00:00+00:00,short,5193.2998046875,5214.51250827014,5214.51250827014,5161.480749313541,4.867444138604723,-103.25,SL,10221.91
2026-02-26 08:15:00+00:00,2026-02-26 14:30:00+00:00,short,5193.10009765625,5164.615919781996,5212.089549572419,5164.615919781996,5.382942786941095,153.33,TP,10375.24
2026-02-27 07:30:00+00:00,2026-02-27 13:00:00+00:00,short,5197.39990234375,5212.0999016334745,5212.0999016334745,5175.349903409163,7.057988110988043,-103.75,SL,10271.49
