open_time,close_time,side,entry,close,sl,tp,size,pnl,result,capital
2025-12-18 14:00:00+00:00,2025-12-18 14:30:00+00:00,long,4369.0,4353.841236016382,4353.841236016382,4391.738145975428,6.596843918677649,-100.0,SL,9900.0
2025-12-18 14:30:00+00:00,2025-12-18 15:00:00+00:00,short,4344.10009765625,4365.560735937279,4365.560735937279,4311.909140234707,4.613096717049447,-99.0,SL,9801.0
2025-12-18 15:15:00+00:00,2025-12-18 16:00:00+00:00,long,4364.7001953125,4400.250608870964,4340.999919606857,4400.250608870964,4.135394930307168,147.01,TP,9948.01
2025-12-24 14:30:00+00:00,2025-12-24 15:30:00+00:00,short,4509.39990234375,4476.580635125767,4531.279413822405,4476.580635125767,4.546726287606939,149.22,TP,10097.24
2025-12-30 15:15:00+00:00,2025-12-30 23:30:00+00:00,short,4382.5,4343.570828348371,4408.452781101086,4343.570828348371,3.8906178053409364,151.46,TP,10248.69
2025-12-31 13:45:00+00:00,2025-12-31 16:00:00+00:00,long,4358.7001953125,4336.3703936014845,4336.3703936014845,4392.194897879024,4.589693131184055,-102.49,SL,10146.21
2026-01-02 14:30:00+00:00,2026-01-02 16:00:00+00:00,short,4368.60009765625,4332.862906639037,4392.424891667725,4332.862906639037,4.258675567542926,152.19,TP,10298.4
2026-01-05 14:00:00+00:00,2026-01-05 23:00:00+00:00,long,4438.10009765625,4469.590972618833,4417.106181014528,4469.590972618833,4.905420981625055,154.48,TP,10452.88
2026-01-06 12:00:00+00:00,2026-01-06 14:30:00+00:00,long,4472.7001953125,4491.719774531326,4460.020475833282,4491.719774531326,8.243775372146281,156.79,TP,10609.67
2026-01-07 16:45:00+00:00,2026-01-08 01:45:00+00:00,long,4474.2001953125,4450.954898342431,4450.954898342431,4509.068140767603,4.564221773231809,-106.1,SL,10503.57
2026-01-08 15:00:00+00:00,2026-01-09 13:30:00+00:00,long,4456.7998046875,4494.301652150396,4431.798573045569,4494.301652150396,4.201221969973181,157.55,TP,10661.13
2026-01-13 13:00:00+00:00,2026-01-13 14:45:00+00:00,long,4611.5,4635.14529906098,4595.736467292681,4635.14529906098,6.763157820310309,159.92,TP,10821.04
2026-01-14 14:45:00+00:00,2026-01-14 19:00:00+00:00,short,4624.5,4645.844205003678,4645.844205003678,4592.483692494483,5.069780222742183,-108.21,SL,10712.83
2026-01-15 13:30:00+00:00,2026-01-15 14:15:00+00:00,short,4593.7998046875,4609.500082978755,4609.500082978755,4570.249387250617,6.823339187146452,-107.13,SL,10605.7
2026-01-15 15:15:00+00:00,2026-01-16 01:00:00+00:00,long,4621.0,4600.893244826807,4600.893244826807,4651.16013275979,5.274696984130259,-106.06,SL,10499.65
2026-01-16 09:15:00+00:00,2026-01-16 11:30:00+00:00,short,4604.60009765625,4618.700780804268,4618.700780804268,4583.449072934222,7.446197419074519,-105.0,SL,10394.65
2026-01-16 13:00:00+00:00,2026-01-16 14:30:00+00:00,short,4600.89990234375,4614.710423411674,4614.710423411674,4580.184120741863,7.526617225235852,-103.95,SL,10290.7
2026-01-16 15:00:00+00:00,2026-01-16 15:15:00+00:00,long,4620.7001953125,4599.906627716176,4599.906627716176,4651.890546706984,4.948984354177002,-102.91,SL,10187.8
2026-01-16 15:15:00+00:00,2026-01-16 16:15:00+00:00,short,4568.10009765625,4600.734601031397,4600.734601031397,4519.148342593529,3.1217870584265226,-101.88,SL,10085.92
2026-01-23 13:45:00+00:00,2026-01-23 16:00:00+00:00,long,4939.7998046875,4972.923931321626,4917.717053598083,4972.923931321626,4.567329051682303,151.29,TP,10237.21
2026-01-26 14:45:00+00:00,2026-01-26 16:30:00+00:00,long,5093.7001953125,5065.503689728521,5065.503689728521,5135.994953688468,3.630665443479831,-102.37,SL,10134.84
2026-01-27 14:00:00+00:00,2026-01-27 15:30:00+00:00,short,5056.0,5082.38338076307,5082.38338076307,5016.424928855396,3.8413711486131845,-101.35,SL,10033.49
2026-01-27 16:00:00+00:00,2026-01-27 20:00:00+00:00,long,5092.2001953125,5143.991928640433,5057.672373093878,5143.991928640433,2.9059137716296135,150.5,TP,10183.99
2026-01-29 12:00:00+00:00,2026-01-29 14:45:00+00:00,long,5565.60009765625,5525.084690490128,5525.084690490128,5626.373208405433,2.513609126109688,-101.84,SL,10082.15
2026-02-05 09:00:00+00:00,2026-02-05 21:30:00+00:00,short,4885.2001953125,4795.555282581527,4944.963470466482,4795.555282581527,1.6870142737163454,151.23,TP,10233.38
2026-02-09 12:30:00+00:00,2026-02-09 15:30:00+00:00,long,5037.2001953125,5077.577086432508,5010.2822678991615,5077.577086432508,3.8016976244437273,153.5,TP,10386.88
2026-02-10 08:30:00+00:00,2026-02-10 12:30:00+00:00,long,5070.89990234375,5045.680065136965,5045.680065136965,5108.729658153928,4.118536815329898,-103.87,SL,10283.01
2026-02-10 15:30:00+00:00,2026-02-11 02:00:00+00:00,short,5036.7001953125,5078.5138769615905,5078.5138769615905,4973.979672838864,2.4592462485273643,-102.83,SL,10180.18
2026-02-11 14:30:00+00:00,2026-02-11 17:30:00+00:00,short,5065.2001953125,5117.98896856148,5117.98896856148,4986.017035439029,1.928475167535444,-101.8,SL,10078.38
2026-02-12 09:00:00+00:00,2026-02-12 12:45:00+00:00,long,5094.89990234375,5074.1775238933415,5074.1775238933415,5125.983470019362,4.863525690024103,-100.78,SL,9977.6
2026-02-12 13:30:00+00:00,2026-02-12 14:30:00+00:00,long,5098.5,5077.0407053698655,5077.0407053698655,5130.688941945202,4.649546197680339,-99.78,SL,9877.82
2026-02-12 14:30:00+00:00,2026-02-12 16:00:00+00:00,short,5078.2001953125,5040.500781080277,5103.333138133982,5040.500781080277,3.930229047849098,148.17,TP,10025.99
