rank,ema,atr_period,sl_mult,tp_mult,hours,tr_trades,tr_wr,tr_pf,tr_dd,tr_monthly,te_trades,te_wr,te_pf,te_dd,te_monthly,score
1,9/42/80,14,2.5,4.0,0-23h,182,48.4,1.502,-5.7%,3.12,68,39.7,1.041,-9.9%,0.28,0.6544
2,12/34/150,20,2.0,2.5,7-16h,100,60.0,1.91,-3.9%,2.24,36,38.9,0.793,-9.4%,-0.77,0.6516
3,12/34/150,20,2.0,2.5,6-17h,118,58.5,1.789,-3.9%,2.4,44,34.1,0.646,-11.5%,-1.67,0.6467
4,12/34/200,20,2.0,2.5,7-16h,93,60.2,1.951,-4.7%,2.09,35,37.1,0.737,-9.4%,-0.97,0.6447
5,12/34/150,14,2.0,2.5,7-16h,101,59.4,1.852,-3.9%,2.16,35,34.3,0.653,-10.3%,-1.32,0.6383
6,9/42/80,10,2.5,4.0,0-23h,179,48.0,1.466,-5.9%,2.94,66,40.9,1.095,-9.9%,0.62,0.6366
7,12/34/150,14,2.0,2.5,6-17h,119,58.0,1.744,-3.9%,2.33,43,30.2,0.543,-14.5%,-2.18,0.6358
8,12/34/150,10,2.0,4.0,6-17h,111,45.0,1.67,-5.9%,2.5,41,22.0,0.557,-15.9%,-2.23,0.6329
9,12/34/200,14,2.0,2.5,7-16h,94,59.6,1.886,-4.7%,2.01,34,32.4,0.599,-11.5%,-1.51,0.6305
10,12/34/150,14,2.0,4.0,6-17h,114,44.7,1.656,-6.9%,2.5,42,21.4,0.54,-16.7%,-2.37,0.6287
0,9/42/80,20,1.5,2.5,0-23h,280,43.9,1.306,-8.1%,3.15,101,37.6,0.992,-9.7%,-0.08,0.6245
0,12/34/200,14,2.0,4.0,6-17h,109,45.0,1.676,-8.7%,2.43,40,20.0,0.494,-17.5%,-2.51,0.6219
0,12/34/150,14,2.0,3.0,6-17h,116,52.6,1.692,-6.8%,2.33,43,30.2,0.649,-12.4%,-1.71,0.6217
0,12/34/80,14,2.5,4.0,0-23h,186,47.3,1.441,-7.0%,2.79,75,34.7,0.835,-15.2%,-1.28,0.6198
0,12/34/150,20,2.0,4.0,0-23h,183,41.5,1.454,-12.5%,2.93,70,30.0,0.837,-16.6%,-1.23,0.6178
0,12/34/150,20,2.0,3.5,0-23h,190,44.7,1.44,-9.6%,2.85,71,32.4,0.821,-13.5%,-1.34,0.6176
0,12/34/200,10,2.0,4.0,6-17h,107,44.9,1.658,-7.8%,2.35,39,20.5,0.51,-16.7%,-2.37,0.6162
0,12/34/200,20,2.0,2.5,6-17h,111,57.7,1.746,-5.4%,2.08,42,33.3,0.625,-11.7%,-1.7,0.6149
0,15/26/80,14,2.5,4.0,0-23h,186,47.3,1.435,-9.4%,2.79,72,37.5,0.946,-13.3%,-0.39,0.6131
0,12/34/150,20,2.0,4.0,6-17h,113,44.2,1.618,-6.9%,2.34,43,23.3,0.599,-15.1%,-2.09,0.6124
0,12/34/150,20,2.0,3.5,6-17h,115,47.8,1.634,-6.8%,2.3,43,25.6,0.596,-14.4%,-2.05,0.6119
0,12/34/200,20,2.0,3.5,6-17h,108,48.1,1.667,-6.8%,2.21,41,24.4,0.559,-15.0%,-2.15,0.61
0,12/34/150,10,2.0,3.5,6-17h,113,47.8,1.633,-6.1%,2.24,41,22.0,0.489,-17.3%,-2.55,0.6093
0,5/26/150,20,2.0,4.0,0-23h,235,40.0,1.34,-14.2%,3.06,91,35.2,1.066,-12.3%,0.69,0.6072
0,9/42/80,10,2.5,3.5,0-23h,190,50.5,1.42,-6.1%,2.61,71,45.1,1.136,-10.1%,0.91,0.6069
0,12/34/200,20,2.0,4.0,6-17h,108,44.4,1.636,-8.7%,2.27,41,22.0,0.555,-15.9%,-2.23,0.6053
0,12/34/200,14,2.0,2.5,6-17h,112,57.1,1.7,-5.4%,2.01,41,29.3,0.518,-14.8%,-2.22,0.6039
0,9/26/200,14,3.0,4.0,0-23h,146,53.4,1.543,-6.2%,2.29,66,42.4,0.97,-10.6%,-0.18,0.6005
0,12/34/150,20,2.0,2.5,0-23h,202,53.0,1.438,-6.0%,2.48,73,39.7,0.812,-10.1%,-1.31,0.6004
0,12/34/150,20,2.0,3.0,6-17h,116,51.7,1.632,-6.8%,2.14,43,27.9,0.578,-14.1%,-2.08,0.6004
0,12/34/100,14,2.5,4.0,0-23h,181,47.0,1.418,-7.6%,2.56,73,37.0,0.925,-13.4%,-0.55,0.5993
0,9/42/80,20,2.5,4.0,0-23h,191,46.6,1.391,-8.1%,2.59,73,41.1,1.105,-9.0%,0.75,0.5965
0,12/34/150,14,2.5,4.0,0-23h,159,47.8,1.49,-10.3%,2.46,62,33.9,0.804,-14.0%,-1.26,0.5951
0,12/26/200,20,3.0,4.0,0-23h,144,53.5,1.53,-7.8%,2.26,59,37.3,0.775,-14.7%,-1.29,0.5928
0,5/26/150,10,2.5,3.5,0-23h,196,50.0,1.412,-9.2%,2.51,80,40.0,0.923,-11.3%,-0.61,0.5911
0,9/26/200,14,2.5,4.0,0-23h,160,47.5,1.468,-8.6%,2.38,69,40.6,1.081,-9.8%,0.55,0.5907
0,5/26/150,20,2.0,2.5,0-23h,271,51.3,1.324,-10.3%,2.69,96,45.8,1.044,-8.0%,0.4,0.5891
0,5/26/150,14,2.5,3.5,0-23h,203,49.8,1.402,-10.3%,2.52,82,40.2,0.931,-11.0%,-0.55,0.5877
0,12/34/150,14,2.0,3.5,6-17h,115,47.0,1.572,-7.3%,2.09,43,23.3,0.525,-16.7%,-2.44,0.5876
