rank,ema,atr_period,sl_mult,tp_mult,hours,tr_trades,tr_wr,tr_pf,tr_dd,tr_monthly,te_trades,te_wr,te_pf,te_dd,te_monthly,score
1,5/50/100,14,2.0,4.0,6-17h,150,44.7,1.552,-5.0%,3.48,56,35.7,1.094,-8.6%,0.58,0.6881
2,5/50/150,14,2.0,4.0,6-17h,131,45.8,1.619,-5.0%,3.32,49,36.7,1.146,-7.8%,0.77,0.6858
3,5/26/100,14,1.5,3.0,6-17h,203,42.4,1.423,-7.8%,3.79,84,29.8,0.838,-18.4%,-1.56,0.6856
4,5/50/150,20,2.5,4.0,6-17h,120,52.5,1.694,-4.9%,2.91,45,44.4,1.271,-8.0%,1.14,0.6673
5,5/26/100,10,1.5,3.0,6-17h,203,41.9,1.397,-7.8%,3.52,84,29.8,0.838,-18.4%,-1.56,0.6632
6,12/26/150,14,2.0,4.0,0-23h,206,41.7,1.426,-10.7%,3.52,70,40.0,1.335,-14.1%,2.36,0.6598
7,5/50/100,14,2.5,4.0,6-17h,138,50.7,1.585,-4.9%,2.92,49,38.8,1.0,-5.2%,0.0,0.6535
8,12/26/150,20,2.0,4.0,0-23h,205,41.5,1.419,-7.9%,3.34,72,40.3,1.351,-13.2%,2.55,0.6533
9,5/50/200,14,2.0,4.0,6-17h,124,45.2,1.601,-5.9%,2.9,45,35.6,1.087,-6.9%,0.43,0.6518
10,12/26/80,10,2.0,3.5,0-23h,241,44.0,1.371,-9.4%,3.39,83,42.2,1.271,-11.5%,2.22,0.6466
0,5/50/150,14,2.5,4.0,6-17h,120,51.7,1.639,-5.3%,2.7,44,40.9,1.095,-7.0%,0.41,0.6443
0,12/26/150,10,2.0,3.5,0-23h,205,44.9,1.409,-7.4%,3.2,71,45.1,1.438,-11.8%,2.96,0.6434
0,5/42/100,20,2.5,3.0,7-16h,127,59.1,1.718,-3.9%,2.46,49,46.9,1.05,-4.5%,0.22,0.6414
0,5/50/100,20,2.5,4.0,6-17h,137,50.4,1.563,-5.0%,2.78,50,42.0,1.145,-5.0%,0.71,0.6405
0,5/50/200,20,2.5,4.0,6-17h,114,51.8,1.675,-4.9%,2.56,43,39.5,1.033,-8.0%,0.14,0.6403
0,12/26/80,14,1.5,3.5,7-16h,132,40.2,1.561,-9.0%,2.92,56,30.4,1.0,-7.4%,0.0,0.64
0,5/50/80,14,2.0,3.0,6-17h,183,49.7,1.475,-5.5%,2.94,67,37.3,0.881,-8.6%,-0.81,0.6388
0,9/42/80,10,2.0,3.0,7-16h,133,52.6,1.603,-7.3%,2.76,49,40.8,1.021,-6.4%,0.11,0.6387
0,12/26/80,20,2.0,4.0,0-23h,240,40.4,1.358,-12.3%,3.4,88,38.6,1.257,-15.8%,2.33,0.6383
0,5/26/80,14,1.5,3.0,6-17h,206,41.3,1.364,-8.8%,3.25,92,29.3,0.823,-21.6%,-1.87,0.6375
