rank,ema,atr_period,sl_mult,tp_mult,hours,tr_trades,tr_wr,tr_pf,tr_dd,tr_monthly,te_trades,te_wr,te_pf,te_dd,te_monthly,score
1,15/42/150,10,2.0,4.0,7-16h,55,45.5,1.673,-6.9%,1.78,27,29.6,0.828,-7.0%,-0.83,0.5805
2,15/42/150,10,2.0,4.0,6-17h,59,42.4,1.465,-7.8%,1.38,30,33.3,0.985,-4.1%,-0.08,0.5224
3,15/42/200,10,2.0,4.0,7-16h,55,41.8,1.424,-7.7%,1.19,25,36.0,1.109,-4.9%,0.46,0.5038
4,12/26/200,20,1.5,3.0,7-16h,75,40.0,1.302,-6.9%,1.27,31,25.8,0.691,-9.7%,-1.82,0.4954
5,15/42/200,14,1.5,3.0,7-16h,59,40.7,1.35,-7.8%,1.09,27,33.3,0.985,-5.0%,-0.07,0.4869
6,15/42/200,20,1.5,3.0,7-16h,59,40.7,1.35,-7.8%,1.09,27,33.3,0.985,-5.0%,-0.07,0.4869
7,15/42/150,10,2.5,4.0,7-16h,49,46.9,1.411,-8.0%,0.91,23,34.8,0.842,-6.2%,-0.61,0.4819
8,15/42/150,10,2.0,3.5,7-16h,58,43.1,1.313,-7.6%,0.89,29,31.0,0.775,-7.6%,-1.14,0.4685
9,15/42/200,14,2.0,4.0,7-16h,55,40.0,1.322,-9.6%,0.91,25,36.0,1.109,-4.9%,0.46,0.466
10,15/42/150,20,2.5,4.0,7-16h,53,45.3,1.317,-10.3%,0.78,24,29.2,0.648,-8.7%,-1.5,0.4544
